text,label
Aircraft power on avionics initializing,Preflight
Flight plan loaded into FMC,Preflight
Weather radar checked before start,Preflight
Preflight briefing completed with crew,Preflight
Hydraulic systems pressure verified,Preflight
Walkaround inspection confirms no visible damage,Preflight
Checklist completed before passenger boarding,Preflight
Oxygen masks checked and operational,Preflight
Fuel quantity confirmed sufficient for route,Preflight
Standby instruments tested,Preflight
Cabin crew greeting passengers at door,Preflight
Carry-on luggage stowed in overhead bins,Preflight
Seatbelts being fastened,Preflight
Passenger manifest checked by cabin crew,Preflight
Gate agent announces final Preflight call,Preflight
Preflight bridge connected and secure,Preflight
Overhead compartments closed by crew,Preflight
"Okay, before start, parking brake.",Preflight
Ground staff closing aircraft door,Preflight
Flight crew conducting final checks before departure,Preflight
"Passengers boarding completed, all doors secured",Preflight
"Fuel loading in progress, weight and balance calculated",Preflight
Cabin crew safety briefing completed,Preflight
"ATC clearance received, pushback approved",Preflight
Final maintenance check signed off,Preflight
Flight plan filed and approved,Preflight
Ground power unit disconnected,Preflight
Catering and baggage loading complete,Preflight
Emergency equipment check verified,Preflight
Flight deck preparing for engine start,Preflight
All safety checks completed before engine start,Preflight
Passenger manifest confirmed,Preflight
Beacon is on.,Preflight
De-icing procedure completed when required,Preflight
Final cargo documentation verified,Preflight
Crew briefing completed,Preflight
Aircraft exterior inspection done,Preflight
Flight management system programmed,Preflight
Communication systems checked,Preflight
Before start checklist complete,Preflight
So I showed him that we can start the pushback,Preflight
we can start the engines,Preflight
He gave us the clear sign for number two,Preflight
Engine two start,Preflight
Engine one start,Preflight
Engine one is clear,Preflight
Engine two is clear,Preflight
Engine one is clear according to him,Preflight
Engine two is clear according to him,Preflight
Flight control check,Preflight
After start checklist complete,Preflight
After start anti-ice,Preflight
Parking brake is set so we can go ahead with the preflight checklist.,Preflight
"Preflight checklist, gear pins stowed, IV switch on, oxygen and interphone.",Preflight
"Altimeter instruments. Set, crosschecked.",Preflight
Requesting clearance to [MASK].,Preflight
Start the APU,Preflight
Should we start the APU?,Preflight
Passengers are boarding,Preflight
Loading the last of the baggage on board and waiting for some paperwork.,Preflight
Fuel and oil quantity checked.,Preflight
Take off speeds set.,Preflight
Pre-flight complete.,Preflight
Pre-view and sign complete and let's get our pushback clearance please.,Preflight
"Okay ground, we are cleared to push.",Preflight
"Brakes are released, go ahead with the push and please call us for start.",Preflight
"Okay, we're starting pushback.",Preflight
Engine has started.,Preflight
"[MASK], request taxi.",Preflight
"[MASK], hold short of [MASK] [MASK] and [MASK].",Preflight
"Cockpit from ground, pushback is complete, continue parking brake set.",Preflight
"We disconnect and standby, this is the signal on your right side.",Preflight
"Have a nice flight, I'll see you next time.",Preflight
Before taxi checklist.,Preflight
"Before taxi checklist, APU off, ATS off, isolations off, record.",Preflight
Ground equipment clear.,Preflight
Taxi checklist complete.,Preflight
Ground crew gives clear signal for engine two start,Preflight
Ground crew gives clear signal for engine two start,Preflight
"Oxygen tested, one hundred percent",Preflight
"Oxygen tested, one hundred percent",Preflight
Navigation transfer display switches,Preflight
"Window hear, On",Preflight
"Pressurization mode selector, auto",Preflight
"Flight instruments, heading two three seven, Altimeter one zero one zero",Preflight
"Flight instruments, heading 2 3 7, Altimeter 1 0 1 0",Preflight
Request ATC clearence,Preflight
Romeo stand five information sierra request clearence,Preflight
Flight requesters route low C7 golf climb initially 6000 feet altitude squak three four four,Preflight
"I will reject the takeoff for a fire warning, engine failure, predictive windshield warning",Preflight
If the aircraft is unsafe or unable to fly,Preflight
Evacuation checklist from the QRH,Preflight
We will use the isolated pack operation during engine start,Preflight
"Aircraft is checked, crew is checked.",Preflight
"In few minutes we will be fully ready to start our journey, thank you very much for your attention",Preflight
"Frankfurt Delivery, Lufthansa 456, Stand A12, Airbus A320 with information Q, request clearance",Preflight
"Lufthansa 456, Frankfurt Delivery, Cleared to Munich, N1 departure, Squawk 4623, slot time 1430",Preflight
"Cleared to Munich, N1 departure, Squawk 4623, Lufthansa 456",Preflight
"SWISS 789, request start up",Preflight
"SWISS 789, start up approved, contact Frankfurt Ground 121.850 for taxi instructions",Preflight
"Start up approved, contact Frankfurt Ground 121.850, SWISS 789",Preflight
"Austrian Airlines 112, Stand B7, request taxi",Preflight
"Brussels Airlines 334, contact Tower 118.300",Preflight
"Contact Tower 118.300, Brussels Airlines 334",Preflight
"Eurowings 567, request taxi",Preflight
"Lufthansa 778, contact Frankfurt Tower 118.300",Preflight
"Contact Frankfurt Tower 118.300, Lufthansa 778",Preflight
"Parking brake is released, you are clear for push back.",Preflight
"Roger, standing by for engine startup",Preflight
"Copy ground,we are ready for engine start up.",Preflight
Starting sequence will be 2 then 1,Preflight
Starting sequence will be two then one,Preflight
"Copy ground, push back is complete, request parking brake",Preflight
"Engine stabilised, good engine start up",Preflight
"Engine start procedure is complete, you may revert to hand signals on the left side of the aircraft.",Preflight
One person will be on the left side with a pin. Have a nice flight,Preflight
Pre flight checklist completed,Preflight
They are disconnecting the ground power unit right now.,Preflight
Take off briefing,Preflight
"Doors and windows, closed and locked",Preflight
Taxi takeoff briefing completed ,Preflight
Anti-collition light is on. Before start checklist completed,Preflight
There is a change in runway,Preflight
Clear to push back. Tail to east lane five please,Preflight
All advised. When ready to start engine,Preflight
Standing by for engine start up,Preflight
